Radius,Volume,Ace2.fraction,Ace2.bud8.fraction
8.273047245,2371.838546,0.00015,0.011
8.343692835,2433.12002,0.000062,0.0114
8.414941686,2495.98483,0.00016,0.0141
8.486798948,2560.473886,0.00013,0.0122
8.559269817,2626.629154,0.0001,0.012
8.632359533,2694.493683,0.0001,0.007
8.706073379,2764.111636,0.00021,0.0132
8.780416687,2835.528316,0.00029,0.0115
8.85539483,2908.790197,0.00019,0.0096
8.93101323,2983.944955,0.00042,0.0097
9.007277354,3061.041495,0.00051,0.0107
9.084192716,3140.129987,0.00024,0.0126
9.161764878,3221.261898,0.00045,0.0119
9.239999447,3304.490023,0.00067,0.0107
9.318902081,3389.868524,0.00073,0.0142
9.398478484,3477.452959,0.00031,0.013
9.478734409,3567.300324,0.00027,0.0111
9.55967566,3659.469086,0.00061,0.0151
9.641308087,3754.019222,0.00091,0.0095
9.723637594,3851.012262,0.00049,0.0139
9.806670134,3950.511323,0.00045,0.0123
9.890411708,4052.581153,0.00046,0.01
9.974868372,4157.288173,0.00069,0.0132
10.06004623,4264.70052,0.00076,0.0092
10.14595145,4374.888093,0.00095,0.0133
10.23259023,4487.922596,0.00086,0.0143
10.31996884,4603.877585,0.0017,0.0085
10.4080936,4722.828516,0.00078,0.0123
10.49697088,4844.852796,0.0015,0.0099
10.5866071,4970.029833,0.0011,0.0139
10.67700875,5098.441083,0.0013,0.011
10.76818236,5230.17011,0.0019,0.0143
10.86013452,5365.302636,0.00096,0.0116
10.95287189,5503.926596,0.0017,0.0108
11.04640116,5646.132201,0.0017,0.0104
11.14072911,5792.011988,0.0014,0.0121
11.23586254,5941.660889,0.0017,0.0109
11.33180834,6095.176286,0.0023,0.0136
11.42857345,6252.658079,0.002,0.0135
11.52616485,6414.208747,0.0014,0.0126
11.62458962,6579.933419,0.0012,0.0146
11.72385485,6749.93994,0.0012,0.0129
11.82396774,6924.338938,0.0011,0.0106
11.92493552,7103.243905,0.0016,0.0153
12.02676548,7286.77126,0.001,0.0116
12.129465,7475.040434,0.0024,0.0147
12.23304149,7668.17394,0.0015,0.0093
12.33750245,7866.29746,0.0017,0.0105
12.44285542,8069.53992,0.0012,0.0123
12.54910804,8278.03358,0.0014,0.0105
12.65626796,8491.914116,0.0014,0.0092
12.76434296,8711.320708,0.0014,0.0094
12.87334083,8936.396135,0.0016,0.0114
12.98326946,9167.286862,0.0012,0.007
13.0941368,9404.14314,0.0006,0.0078
13.20595086,9647.119102,0.0012,0.0049
13.31871973,9896.372862,0.0015,0.0082
13.43245157,10152.06662,0.0019,0.0097
13.54715458,10414.36677,0.0019,0.0079
13.66283707,10683.444,0.0018,0.0061
13.77950741,10959.47341,0.0015,0.0056
13.89717402,11242.63463,0.0019,0.0043
14.01584542,11533.11191,0.0015,0.0044
14.13553018,11831.09429,0.0029,0.003
14.25623695,12136.77568,0.0026,0.0015
14.37797448,12450.35499,0.0036,0.0024
14.50075155,12772.03629,0.0044,0.0041
14.62457704,13102.0289,0.005,0
14.74945991,13440.54758,0.0067,0.0043
14.87540918,13787.8126,0.009,0.00088
15.00243397,14144.04995,0.0124,0.0009
15.13054345,14509.49145,0.0115,0.00092
15.2597469,14884.3749,0.014,0.0019
15.39005364,15268.94426,0.0142,0.00097
15.5214731,15663.44978,0.0122,0
15.65401479,16068.14819,0.0205,0.001
15.78768828,16483.30284,0.0212,0
15.92250324,16909.18389,0.0215,0
16.05846942,17346.06848,0.0232,0
16.19559665,17794.24091,0.0236,0
16.33389485,18253.99283,0.0261,0
16.473374,18725.62341,0.0296,0
16.61404421,19209.43956,0.0318,0.0012
16.75591563,19705.75613,0.0321,0.0013
16.89899852,20214.89609,0.0327,0
17.04330324,20737.19075,0.0325,0
17.18884021,21272.98001,0.0266,0
17.33561995,21822.61252,0.0317,0
17.48365308,22386.44595,0.0282,0
17.63295031,22964.84721,0.0269,0
17.78352242,23558.19269,0.0324,0
17.9353803,24166.86851,0.0296,0
18.08853494,24791.27075,0.0269,0
18.2429974,25431.80576,0.0298,0
18.39877885,26088.89034,0.0309,0
18.55589056,26762.95209,0.0256,0
18.71434389,27454.42966,0.0252,0
18.87415028,28163.77302,0.0233,0
19.03532131,28891.44376,0.0261,0
19.19786861,29637.91542,0.0174,0
19.36180394,30403.67376,0.0132,0
19.52713916,31189.21708,0.0175,0
19.69388622,31995.05658,0.0155,0
19.86205717,32821.71666,0.0125,0
20.03166417,33669.73524,0.0137,0
20.20271949,34539.66419,0.0097,0
20.37523549,35432.06959,0.0104,0
20.54922465,36347.53217,0.0097,0
20.72469955,37286.64767,0.009,0
20.90167287,38250.02721,0.0078,0
21.08015741,39238.2977,0.0035,0
21.26016607,40252.10225,0.0067,0
21.44171187,41292.10059,0.0053,0
21.62480794,42358.96949,0.0043,0
21.8094675,43453.40321,0.005,0
21.99570393,44576.11395,0.0017,0
22.18353066,45727.83229,0.0023,0
22.3729613,46909.30772,0.0006,0
22.56400954,48121.30907,0.0025,0
22.75668918,49364.62504,0.00063,0
22.95101416,50640.06471,0,0
23.14699853,51948.45807,0.00066,0
23.34465646,53290.65654,0.0014,0
23.54400223,54667.53355,0.0007,0
23.74505027,56079.9851,0.00071,0
23.94781511,57528.93033,0,0
24.15231141,59015.31213,0.00075,0
24.35855395,60540.09775,0,0
24.56655765,62104.27943,0,0
24.77633755,63708.87507,0,0
