Oxygen,Radius,Myoglobin,Metabolism
0.019,20,0,0.198794947
0.011,20,0.01,0.153244864
0.012,20,0.01,0.161873156
0.013,20,0.01,0.170138371
0.014,20,0.01,0.178066433
0.015,20,0.01,0.185680041
0.016,20,0.01,0.19299971
0.017,20,0.01,0.200044381
0.018,20,0.01,0.206831778
0.019,20,0.01,0.21337859
0.011,20,0.02,0.160251458
0.012,20,0.02,0.169511027
0.013,20,0.02,0.178389167
0.014,20,0.02,0.186907309
0.015,20,0.02,0.195084053
0.016,20,0.02,0.202936367
0.017,20,0.02,0.21048032
0.018,20,0.02,0.217731491
0.019,20,0.02,0.224705176
0.011,20,0.03,0.165569435
0.012,20,0.03,0.175348838
0.013,20,0.03,0.184742479
0.014,20,0.03,0.193768195
0.015,20,0.03,0.202440954
0.016,20,0.03,0.210774204
0.017,20,0.03,0.218780744
0.018,20,0.03,0.226473256
0.019,20,0.03,0.233864602
0.011,20,0.04,0.169796963
0.012,20,0.04,0.180011069
0.013,20,0.04,0.189841846
0.014,20,0.04,0.199304491
0.015,20,0.04,0.208411111
0.016,20,0.04,0.217172169
0.017,20,0.04,0.225597473
0.018,20,0.04,0.233696829
0.019,20,0.04,0.241480441
0.011,20,0.05,0.17326704
0.012,20,0.05,0.18385022
0.013,20,0.05,0.194055809
0.014,20,0.05,0.203897149
0.015,20,0.05,0.213384194
0.016,20,0.05,0.222525032
0.017,20,0.05,0.231326951
0.018,20,0.05,0.239797187
0.019,20,0.05,0.247943419
0.011,20,0.06,0.176183595
0.012,20,0.06,0.187084368
0.013,20,0.06,0.197614836
0.014,20,0.06,0.207787068
0.015,20,0.06,0.217609451
0.016,20,0.06,0.227088243
0.017,20,0.06,0.236228695
0.018,20,0.06,0.24503586
0.019,20,0.06,0.253515168
0.011,20,0.07,0.178680159
0.012,20,0.07,0.189857426
0.013,20,0.07,0.200672289
0.014,20,0.07,0.211135967
0.015,20,0.07,0.221255736
0.016,20,0.07,0.231036478
0.017,20,0.07,0.240481835
0.018,20,0.07,0.249595062
0.019,20,0.07,0.258379658
0.011,20,0.08,0.180848638
0.012,20,0.08,0.19226906
0.013,20,0.08,0.203335081
0.014,20,0.08,0.214057391
0.015,20,0.08,0.224442492
0.016,20,0.08,0.234494251
0.017,20,0.08,0.244215067
0.018,20,0.08,0.253606741
0.019,20,0.08,0.262671153
0.011,20,0.09,0.182754793
0.012,20,0.09,0.19439093
0.013,20,0.09,0.205680506
0.014,20,0.09,0.216633901
0.015,20,0.09,0.227257104
0.016,20,0.09,0.237553254
0.017,20,0.09,0.247523797
0.018,20,0.09,0.257169383
0.019,20,0.09,0.26649055
0.011,20,0.1,0.184447161
0.012,20,0.1,0.196276144
0.013,20,0.1,0.207766095
0.014,20,0.1,0.21892725
0.015,20,0.1,0.229765278
0.016,20,0.1,0.240282805
0.017,20,0.1,0.250480569
0.018,20,0.1,0.260358314
0.019,20,0.1,0.269915489
0.011,20,0.11,0.185962498
0.012,20,0.11,0.197965048
0.013,20,0.11,0.209635719
0.014,20,0.11,0.220984719
0.015,20,0.11,0.232017539
0.016,20,0.11,0.242736464
0.017,20,0.11,0.253141713
0.018,20,0.11,0.26323233
0.019,20,0.11,0.273006884
0.011,20,0.12,0.187329236
0.012,20,0.12,0.19948894
0.013,20,0.12,0.211323515
0.014,20,0.12,0.222843224
0.015,20,0.12,0.234053486
0.016,20,0.12,0.244956377
0.017,20,0.12,0.255551748
0.018,20,0.12,0.265838108
0.019,20,0.12,0.27581333
0.011,20,0.13,0.188569779
0.012,20,0.13,0.200872538
0.013,20,0.13,0.212856512
0.014,20,0.13,0.224532078
0.015,20,0.13,0.235904666
0.016,20,0.13,0.246976236
0.017,20,0.13,0.257746395
0.018,20,0.13,0.268213256
0.019,20,0.13,0.278374139
0.011,20,0.14,0.189702058
0.012,20,0.14,0.202135661
0.013,20,0.14,0.214256432
0.014,20,0.14,0.2260749
0.015,20,0.14,0.237596563
0.016,20,0.14,0.248823347
0.017,20,0.14,0.259754703
0.018,20,0.14,0.270388459
0.019,20,0.14,0.28072151
0.011,20,0.15,0.19074062
0.012,20,0.15,0.203294419
