Oxygen,Radius,Myoglobin,Metabolism,Advantage
0.02,25,0.01,0.177769285,0.073635201
0.03,25,0.01,0.221942934,0.063747232
0.04,25,0.01,0.257040391,0.052079721
0.05,25,0.01,0.286899206,0.042726849
0.06,25,0.01,0.31330518,0.035665112
0.07,25,0.01,0.337196114,0.030386749
0.08,25,0.01,0.35912029,0.026385054
0.09,25,0.01,0.379436185,0.023247937
0.1,25,0.01,0.398402795,0.020724414
0.11,25,0.01,0.416215549,0.018669268
0.12,25,0.01,0.43302421,0.016970251
0.13,25,0.01,0.448947372,0.015533584
0.14,25,0.01,0.464082972,0.014296453
0.15,25,0.01,0.478513302,0.013224102
0.16,25,0.01,0.492307044,0.012292412
0.17,25,0.01,0.505521437,0.011476267
0.18,25,0.01,0.518205193,0.010751089
0.19,25,0.01,0.530401006,0.01009915
0.2,25,0.01,0.542146751,0.009511027
0.21,25,0.01,0.553475739,0.008981315
0.22,25,0.01,0.564416934,0.008503729
0.23,25,0.01,0.574995638,0.00806989
0.24,25,0.01,0.585234448,0.007671573
0.25,25,0.01,0.595153992,0.007303251
0.001,30,0.01,0.018260917,0.033503236
0.002,30,0.01,0.031863076,0.038936196
0.003,30,0.01,0.043035279,0.043776151
0.004,30,0.01,0.052750855,0.04812761
0.005,30,0.01,0.061500427,0.052061438
0.006,30,0.01,0.06955668,0.05562473
0.007,30,0.01,0.07708235,0.058847531
0.008,30,0.01,0.08418007,0.061747985
0.009,30,0.01,0.090917634,0.064336309
0.01,30,0.01,0.097341764,0.066617972
0.02,30,0.01,0.149217658,0.074060854
0.03,30,0.01,0.186698612,0.064770961
0.04,30,0.01,0.216579278,0.053245876
0.05,30,0.01,0.242073075,0.043877418
0.06,30,0.01,0.264683463,0.036747933
0.07,30,0.01,0.285201425,0.031385337
0.08,30,0.01,0.304088248,0.027315653
0.09,30,0.01,0.321642398,0.024129315
0.1,30,0.01,0.338078372,0.021560774
0.11,30,0.01,0.353558883,0.019461864
0.12,30,0.01,0.368208926,0.017727921
0.13,30,0.01,0.38212664,0.016267195
0.14,30,0.01,0.395392422,0.015010103
0.15,30,0.01,0.408074191,0.013915775
0.16,30,0.01,0.420229348,0.012961133
